codigo_cnv,id_detalle_cnv,denominacion_cnv,verificado_por,curado_en
1139,82025,CHAMPAQUI FONDO INMEDIATO,nombre,2026-08-23
1142,82313,CICLO NOVA Ahorro,nombre,2026-08-23
1143,82092,Compass Renta Plus II FCI,nombre,2026-08-23
1145,82305,FCI GALILEO BLEND,nombre,2026-08-23
1146,82306,Galileo Multimercado IV,nombre,2026-08-23
1147,82307,Galileo Multi-Strategy,nombre,2026-08-23
1148,82420,FIRST RENTA MIXTA III FCI,nombre,2026-08-23
1149,82421,FIRST RENTA MIXTA IV FCI,nombre,2026-08-23
1150,82422,FIRST RENTA MIXTA V FCI,nombre,2026-08-23
1152,82276,BALANZ CAPITAL MONEY MARKET,nombre,2026-08-23
1153,82263,ALLARIA DINÁMICO FCI,nombre,2026-08-23
1156,82286,Vinci Compass Liquidez FCI,nombre,2026-08-23
1157,82414,OPTIMUM LIQUIDITY,nombre,2026-08-23
1159,82315,GAINVEST GLOBAL IV,nombre,2026-08-23
1160,82314,GAINVEST ESTRATEGIA IV,nombre,2026-08-23
1162,82345,PIONERO GESTION,nombre,2026-08-23
1163,82321,BM ACTIVE RENTA FIJA ARGENTINA FCI,nombre,2026-08-23
1165,82378,ALPHA RENTA CAPITAL DÓLAR,nombre,2026-08-23
1166,82379,ALPHA LATAM,nombre,2026-08-23
1168,82356,CICLO NOVA FONDO COMUN DE INVERSION ABIERTO PYME,nombre,2026-08-23
1169,83440,BM SMART CORTO PLAZO FCI,nombre,2026-08-23
1171,83449,NOVUS LIQUIDEZ PLUS,nombre,2026-08-23
1172,83448,NOVUS ESTRATEGIA,nombre,2026-08-23
1173,83450,NOVUS LIQUIDEZ FONDO DE DINERO,nombre,2026-08-23
1174,83451,NOVUS VALOR,nombre,2026-08-23
1175,82399,ALLARIA UNICRED EMPRESAS FCI,nombre,2026-08-23
1176,82400,ALLARIA PRINCIPAL FCI,nombre,2026-08-23
1177,82401,ALLARIA DOLAR CRECIMIENTO FCI,nombre,2026-08-23
1179,83518,CONSULTATIO GESTIÓN III FCI,nombre,2026-08-23
1180,83515,CONSULTATIO GESTIÓN IV FCI,nombre,2026-08-23
1181,83516,CONSULTATIO GESTIÓN V FCI,nombre,2026-08-23
1182,83512,PIONERO RENTA BALANCEADO,nombre,2026-08-23
1183,83513,PIONERO CAPITAL,nombre,2026-08-23
1184,83517,SMR FONDO COMUN DE INVERSION,nombre,2026-08-23
1185,83561,FIRST RENTA MIXTA VI FCI,nombre,2026-08-23
1186,83562,FIRST RENTA MIXTA VII FCI,nombre,2026-08-23
1187,83563,FIRST RENTA MIXTA VIII FCI,nombre,2026-08-23
1192,83583,FUNDCORP CAPITAL FCI ABIERTO PYMES,nombre,2026-08-23
1193,83647,PELLEGRINI RETORNO TOTAL FCI,nombre,2026-08-23
1194,83648,PELLEGRINI RENTA FIJA II FCI,nombre,2026-08-23
1195,83676,CONSULTATIO MULTIMERCADO I,nombre,2026-08-23
1196,83677,CONSULTATIO MULTIMERCADO II,nombre,2026-08-23
1198,83679,CONSULTATIO MULTIMERCADO IV,nombre,2026-08-23
1201,84093,Ualintec Renta Fija Pesos,nombre,2026-08-23
1202,84094,Ualintec Ahorro Pesos,nombre,2026-08-23
1203,84095,Ualintec  Renta Variable Pesos,nombre,2026-08-23
1204,83621,ALLARIA PATRIMONIO II FCI,nombre,2026-08-23
1205,83622,ALLARIA UNICRED COBERTURA FCI,nombre,2026-08-23
1208,83627,Adcap Balanceado XI,nombre,2026-08-23
1209,83662,MEGAQM SUSTENTABLE ASG,nombre,2026-08-23
1212,83672,Balanz Capital Estrategia I USD,nombre,2026-08-23
1213,83673,Balanz Capital Estrategia II USD,nombre,2026-08-23
1215,83689,GAINVEST BALANCEADO II,nombre,2026-08-23
1216,83690,GAINVEST BALANCEADO III,nombre,2026-08-23
1220,83842,Schroder Renta Global Cuatro FC.I.,nombre,2026-08-23
1221,83843,Schroder Renta Global Cinco F.C.I.,nombre,2026-08-23
1225,83937,1822 RAICES GESTION,nombre,2026-08-23
1226,83938,1822 RAÍCES AHORRO PLUS,nombre,2026-08-23
1228,83845,Delta Gestión XI,nombre,2026-08-23
1229,83846,Delta Gestión XII,nombre,2026-08-23
