codigo_cnv,fondo_cafci,candidatos
349,1810 Renta Fija Dolar,sin candidatos
352,Desarrollo Argentino I FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase D,sin candidatos
36,Atlas (Valor final de liquidacion),sin candidatos
464,Super Bonos - Clase A,sin candidatos
49,Litoral (En proceso de liquidacion),sin candidatos
509,FBA Acciones Latinoamericana - Clase A,sin candidatos
52,Blacktoro Ahorro - Clase A,sin candidatos
520,Superfondo Acciones Brasil - Clase C,sin candidatos
524,Supergestion Mix VI - Clase A,sin candidatos
565,Desarrollo Argentino II FCI Abierto para el Fin. de la Infra. y la Econ. Real - Clase A,sin candidatos
572,Adcap Financiamiento Abierto Pymes - Clase A,sin candidatos
588,Quiron Latam en U$S - Clase A,sin candidatos
595,Premier Abierto Pymes - Clase A,sin candidatos
597,Allaria Abierto Pymes - Clase A,sin candidatos
601,Gainvest Ahorro - Clase A,sin candidatos
615,Quiron PYMEs - Clase A,sin candidatos
616,Cohen Renta Fija Plus Titulos RP - Clase B,sin candidatos
620,Allaria Desarrollo e Infraestructura - Clase A,sin candidatos
63,Arpenta (ex Mercosur),sin candidatos
633,MAF Renta - Clase A,sin candidatos
634,MAF Renta Argentina 2 - Clase A,sin candidatos
635,MAF Acciones Argentinas - Clase A,sin candidatos
645,SBS Desarrollo Infraestructura - Clase A,sin candidatos
646,SBS Abierto Pymes - Clase A,sin candidatos
649,Gainvest Infraestructura FCI Abierto - Clase A,sin candidatos
659,Super Ahorro Plus - Clase A,sin candidatos
660,Supergestion Balanceado - Clase A,sin candidatos
661,Supergestion Multimercado - Clase A,sin candidatos
663,Pionero Empresas FCI Abierto Pymes -  Clase A,sin candidatos
666,SBS Tavelli Abierto Pymes - Clase P,sin candidatos
667,MEGAQM Empresas Argentinas FCIA Pymes - Clase A,sin candidatos
683,MAF Empresas Pymes,sin candidatos
685,Consultatio Abierto Pymes - Clase A,sin candidatos
690,Balanz Capital Abierto Pymes FCI - Clase A,sin candidatos
696,Chaco Renta Fija I - Clase A,sin candidatos
697,Chaco Abierto Ahorro - Clase A,sin candidatos
698,Fima FCI Abierto Pymes - Clase A,sin candidatos
704,Rofex 20 Renta Variable - Clase A,sin candidatos
708,Gestionar Abierto Pymes - Clase A,sin candidatos
710,Pellegrini Desarrollo Arg. Infraest. - Clase A,sin candidatos
722,Delta Crecimiento Infraestructura - Clase A,sin candidatos
745,Adcap Cima Abierto Pymes - Clase A,sin candidatos
758,Chaco FCI Abierto Pymes - Clase A,sin candidatos
759,Chaco FCI Abierto Infraestructura - Clase A,sin candidatos
768,MEGAQM FCI Abierto Financiamiento de Infraestructura - Clase A,sin candidatos
771,Superfondo Equilibrado - Clase A,sin candidatos
772,Superfondo Combinado - Clase A,sin candidatos
773,Superfondo Renta Mixta - Clase A,sin candidatos
777,Superfondo Empresas Args. Abierto Pymes - Clase A,sin candidatos
790,Superfondo Multirenta - Clase A,sin candidatos
791,Superfondo Estrategico - Clase K Ley N° 27.743,sin candidatos
792,Superfondo Renta Balance - Clase A,sin candidatos
806,Superfondo Renta Fija Dólares - Clase G,sin candidatos
850,ST Abierto Pymes - Clase A,sin candidatos
854,Allaria Renta Dolar Ley 27260 - Clase A,sin candidatos
869,Adcap Ahorro Dólares - Clase C,sin candidatos
873,Cohen Disp. Transitorias Ley 27260 - Clase A,sin candidatos
880,Allaria Rdcial. Casasarg FCIC Ley 27260 - Clase A,sin candidatos
881,Superfondo Renta Fija Dólares II - Clase A,sin candidatos
894,First Abierto Pymes - Clase A,sin candidatos
901,SBS Infraestructura y Desarrollo Productivo FCIC Ley 27260 - Clase A,sin candidatos
910,Consultatio Inmobiliario FCIC Ley 27260 - Clase A,sin candidatos
911,Allaria Argencons Pto. M. FCIC Ley 27260 - Clase A,sin candidatos
924,Quinquela Predial FCIC Ley 27260 - Clase A,sin candidatos
946,Balanz Opportunity - Clase A,sin candidatos
989,GMC Retorno Total - Clase A,sin candidatos
