raiz_emision,motivo
DNCB,"sin código en ARCA (nuestras especies: ['DNCBC', 'DNCBD', 'DNCBO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
EAC4,"sin código en ARCA (nuestras especies: ['EAC4C', 'EAC4D', 'EAC4O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
FO4A,"sin código en ARCA (nuestras especies: ['FO4AC', 'FO4AD', 'FO4AO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
FYC1,"sin código en ARCA (nuestras especies: ['FYC1C', 'FYC1D', 'FYC1O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
GPS1M,sin código en ARCA (nuestras especies: ['GPS1M']) — esperable si la emisión empezó a cotizar después del 31/12/2025
HBCE,"sin código en ARCA (nuestras especies: ['HBCEC', 'HBCED', 'HBCEO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
HBCF,"sin código en ARCA (nuestras especies: ['HBCFC', 'HBCFD', 'HBCFO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
HJCK,"sin código en ARCA (nuestras especies: ['HJCKC', 'HJCKD', 'HJCKO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
HJCL,"sin código en ARCA (nuestras especies: ['HJCLC', 'HJCLD', 'HJCLO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
ICC6,"sin código en ARCA (nuestras especies: ['ICC6C', 'ICC6D', 'ICC6O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
IRCQ,"sin código en ARCA (nuestras especies: ['IRCQC', 'IRCQD', 'IRCQO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
JNC7,"sin código en ARCA (nuestras especies: ['JNC7C', 'JNC7D', 'JNC7O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
LOC6,"sin código en ARCA (nuestras especies: ['LOC6C', 'LOC6D', 'LOC6O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
LQC1,"sin código en ARCA (nuestras especies: ['LQC1C', 'LQC1D', 'LQC1O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
LR7B,sin código en ARCA (nuestras especies: ['LR7BO']) — esperable si la emisión empezó a cotizar después del 31/12/2025
LUC5,"sin código en ARCA (nuestras especies: ['LUC5D', 'LUC5O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MCC3,"sin código en ARCA (nuestras especies: ['MCC3C', 'MCC3D', 'MCC3O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MGC9,"ARCA trae la raíz con otro sufijo de liquidación (nuestras especies: ['MGC9C']) — MGC9O -> CUIT 30526552659 ('PAMPA ENERGIA S.A.', 'ON PAMPA ENERGIA SA REGS 9.5% V08/12/26')"
MGCT,"sin código en ARCA (nuestras especies: ['MGCTC', 'MGCTD', 'MGCTO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MIC4,"sin código en ARCA (nuestras especies: ['MIC4C', 'MIC4D', 'MIC4O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
