ticker_papel,nombre_largo,mercado_origen,sic_titulo,estrategia_etf,pais,fuente,verificado
TTE,TotalEnergies SE,NYSE,Crude Petroleum & Natural Gas,,,,
TV,Grupo Televisa S.A.,NYSE,Television Broadcasting Stations,,,,
TWLO,Twilio Inc,NYSE,Services-Prepackaged Software,,,,
TXN,Texas Instruments Inc,NASDAQ,Semiconductors & Related Devices,,,,
TXR,Ternium S.A.,NYSE,,,,,
UAL,United Airlines Holdings Inc.,NASDAQ GS,"Air Transportation, Scheduled",,,,
UBER,Uber Technologies Inc.,NYSE,"Services-Business Services, NEC",,,,
UGP,Ultrapar Participações S.A.,NYSE,Natural Gas Distribution,,,,
UL,Unilever PLC - Sponsored,NYSE,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",,,,
UNH,UnitedHealth Group Inc.,NYSE,Hospital & Medical Service Plans,,,,
UNP,Union Pacific Corp.,NYSE,"Railroads, Line-Haul Operating",,,,
UPST,Upstart Hldgs Inc,NASDAQ GS,Finance Services,,,,
URA,Global X Uranium ETF,NYSE Arca,,sectorial,,,
URBN,Urban Outfitters INC.,NASDAQ,Retail-Family Clothing Stores,,,,
USO,United States Oil Fund,NYSE,Commodity Contracts Brokers & Dealers,sectorial,,,
V,Visa Inc,NYSE,"Services-Business Services, NEC",,,,
VAL3C,,,,,,,
VAL3D,,,,,,,
VALE,Vale S.A.,NYSE,Metal Mining,,,,
VALE3,Vale S.A.,B3,,,,,
VB,,,,,,,
VC,VISTEON CORP,,Motor Vehicle Parts & Accessories,,,,
VD,,,,,,,
VEA,Vanguard FTSE Developed Markets ETF,NYSE Arca,,geografico,,,
VIG,VANGUARD DIVIDEND APPRECIATION,NYSE Arca,,,,,
VIST,Vista Energy S.A.B. de C.V.,NYSE,Crude Petroleum & Natural Gas,,,,
VIV,Telefônica Brasil S.A.,NYSE,Telephone Communications (No Radiotelephone),,,,
VIVT3,Telefônica Brasil S.A.,B3,,,,,
VIVTC,,,,,,,
VOD,Vodafone Group Plc,NASDAQ,Radiotelephone Communications,,,,
VRSN,VERISIGN INC/CA,,Services-Computer Programming Services,,,,
VRTX,VERTEX PHARMACEUTICALS INC,NYSE,Pharmaceutical Preparations,,,,
VST,VISTRA CORPORATION,NYSE,Electric Services,,,,
VXX,iPath Series B S&P 500 VIX,CBOE,"Commercial Banks, NEC",,,,
VZ,Verizon Communications Inc.,NYSE,Telephone Communications (No Radiotelephone),,,,
WBO,Weibo Corporation,NASDAQ,,,,,
WEGE3,Weg S.A.,B3,,,,,
WFC,Wells Fargo & Co.,NYSE,National Commercial Banks,,,,
WMT,Walmart Inc.,NYSE,Retail-Variety Stores,,,,
XLB,The Materials Select Sector SPDR Fund,NYSE Arca,,sectorial,,,
XLC,The Communication Services Select Sector SPDR Fund,NYSE Arca,,sectorial,,,
XLE,ENERGY SELECT SECTOR SPDR FUND,NYSE Arca,,sectorial,,,
XLF,FINANCIAL SELECT SECTOR SPDR FUND,NYSE Arca,,sectorial,,,
XLI,The Industrial Select Sector SPDR Fund,NYSE Arca,,sectorial,,,
XLK,The Technology Select Sector SPDR Fund,NYSE Arca,,sectorial,,,
XLP,The Consumer Staples Select Sector SPDR Fund,NYSE Arca,,sectorial,,,
XLRE,The Real Estate Select Sector SPDR Fund,NYSE Arca,,sectorial,,,
XLU,,,,,,,
XLV,The Health Care Select Sector SPDR Fund,NYSE Arca,,sectorial,,,
XLY,The Consumer Discretionary Select Sector SPDR Fund,NYSE Arca,,sectorial,,,
XME,State Street SPDR S&P Metals & Mining ETF,NYSE ARCA,,sectorial,,,
XOM,Exxon Mobil Corporation,NYSE,Petroleum Refining,,,,
XP,XP Inc,NASDAQ,"Security Brokers, Dealers & Flotation Companies",,,,
XPEV,XPENG INC.,,Motor Vehicles & Passenger Car Bodies,,,,
XROX,Xerox Holding Corporation,NYSE,,,,,
XYZ,Square Inc.,NYSE,Services-Prepackaged Software,,,,
YELP,Yelp Inc.,NYSE,Services-Personal Services,,,,
YZCA,Yanzhou Coal Mining Co. Ltd.,OTC US,,,,,
ZM,Zoom Video Communications Inc.,NASDAQ,"Services-Computer Programming, Data Processing, Etc.",,,,
