ticker_papel,nombre_largo,mercado_origen,sic_titulo,estrategia_etf,pais,fuente,verificado
CCL,Carnival,NYSE,Water Transportation,,,,
CDE,Coeur Mining Inc.,NYSE,Gold and Silver Ores,,,,
CEG,CONSTELLATION ENERGY CORPORATION,NASDAQ GS,Electric Services,,,,
CIBR,First Trust NASDAQ Cybersecurity,NASDAQ GM,,sectorial,,,
CL,Colgate Palmolive Co,NYSE,"Perfumes, Cosmetics & Other Toilet Preparations",,,,
CLS,CELESTICA INC,NYSE,Printed Circuit Boards,,,,
COIN,Coinbase Global Inc,NASDAQ,Finance Services,,,,
COP,ConocoPhillips,NYSE,Petroleum Refining,,,,
COPX,Global X Copper Miners ETF,NYSE,,sectorial,,,
COST,Costco Wholesale Corp,NASDAQ,Retail-Variety Stores,,,,
CRM,Salesforce Inc.,NYSE,Services-Prepackaged Software,,,,
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ GS,Services-Prepackaged Software,,,,
CRWV,CoreWeave Inc,NASDAQ,Services-Prepackaged Software,,,,
CSCO,Cisco Systems Inc,NASDAQ,Computer Communications Equipment,,,,
CSNA3,Companhia Siderúrgica Nacional S.A.,B3,,,,,
CVS,CVS Health,NYSE,Retail-Drug Stores and Proprietary Stores,,,,
CVX,Chevron Corp.,NYSE,Petroleum Refining,,,,
CX,Cemex S.A.B. de CV,NYSE,"Cement, Hydraulic",,,,
DAL,Delta Air Lines,NYSE,"Air Transportation, Scheduled",,,,
DD,Dupont de Nemours Inc.,NYSE,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",,,,
DE,Deere & Co.,NYSE,Farm Machinery & Equipment,,,,
DECK,DECKERS OUTDOOR CORPORATION,NYSE,Rubber & Plastics Footwear,,,,
DEO,Diageo PLC,NYSE,Beverages,,,,
DHR,Danaher Corp,NYSE,"Industrial Instruments For Measurement, Display, and Control",,,,
DIA,SPDR DOW JONES INDUSTRIAL,NYSE Arca,,,,,
DISN,The Walt Disney Co.,NYSE,,,,,
DJN3C,,,,,,,
DJN3D,,,,,,,
DJNJ3,,,,,,,
DOCU,DocuSign Inc.,NASDAQ,Services-Prepackaged Software,,,,
DOW,DOW Inc,NYSE,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",,,,
DTEA,Deutsche Telekom Ag,OTC US,,,,,
E,Eni Spa,NYSE,Crude Petroleum & Natural Gas,,,,
EBAY,Ebay Inc.,NASDAQ,"Services-Business Services, NEC",,,,
EC,ECOPETROL S.A.,,Crude Petroleum & Natural Gas,,,,
ECL,Ecolab Inc,NYSE,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",,,,
EEM,ISHARES MSCI EMERGING MARKET,NYSE Arca,,,,,
EFA,iShares MSCI EAFE ETF,NYSE,,geografico,,,
EFX,Equifax Inc.,NYSE,"Services-Consumer Credit Reporting, Collection Agencies",,,,
ELPC,ENERGY CO OF PARANA,,Electric Services,,,,
EMBJ,EMBRAER S.A.,,Aircraft,,,,
EOAN,,,,,,,
EQNR,Equinor Asa,NYSE,Petroleum Refining,,,,
ERIC,Lm Ericsson Telephone Co.,NASDAQ,Radio & Tv Broadcasting & Communications Equipment,,,,
ESGU,IShares ESG Aware MSCI USA ETF,NASDAQ,,esg,,,
ETHA,ISHARES ETHEREUM TR ETF,NASDAQ,Commodity Contracts Brokers & Dealers,cripto,,,
ETSY,Etsy Inc.,NASDAQ,"Services-Business Services, NEC",,,,
EWJ,iShares MSCI JAPAN ETF,NYSE Arca,,geografico,,,
EWY,iShares MSCI South Korea ETF,NYSE ARCA,,geografico,,,
EWZ,ISHARES MSCI BRAZIL CAP,NYSE Arca,,,,,
F,Ford Motor Company,NYSE,Motor Vehicles & Passenger Car Bodies,,,,
FC,FRANKLIN COVEY CO,,Services-Management Services,,,,
FCX,Freeport Mcmoran Copper & Gold Inc.,NYSE,Metal Mining,,,,
FD,,,,,,,
FDX,Fedex Corp,NYSE,Air Courier Services,,,,
FISV,"Fiserv, Inc.",NASDAQ GS,"Services-Business Services, NEC",,,,
FMCC,Freddie Mac (Federal Home Loan),OTC,Federal & Federally-Sponsored Credit Agencies,,,,
FMX,Fomento Economico Mexicano - Femsa,NYSE,Bottled & Canned Soft Drinks & Carbonated Waters,,,,
FNMA,"Fed. Natl, Mortgage - Fannie Mae",OTC,Federal & Federally-Sponsored Credit Agencies,,,,
FSLR,First Solar Inc.,NASDAQ,Semiconductors & Related Devices,,,,
FXI,ISHARES CHINA LARGE-CAP ETF,NYSE,,geografico,,,
GDX,Van Eck Gold Miners ETF/USA,NYSE,,sectorial,,,
GE,General Electric Co.,NYSE,Electronic & Other Electrical Equipment (No Computer Equip),,,,
GFI,Gold Fields Ltd.,NYSE,Gold and Silver Ores,,,,
GGB,Gerdau S.A.,NYSE,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",,,,
GILD,"Gilead Sciences, Inc.",NASDAQ,"Biological Products, (No Diagnostic Substances)",,,,
GLD,ETF SPDR GOLD TRUST,NYSE,Commodity Contracts Brokers & Dealers,activo_fisico,,,
GLNG,Golar LNG Ltd.,NASDAQ GS,Water Transportation,,,,
GLOB,Globant S.A.,NYSE,Services-Computer Processing & Data Preparation,,,,
GLW,Corning Inc.,NYSE,Drawing & Insulating of  Nonferrous Wire,,,,
GM,General Motors Co,NYSE,Motor Vehicles & Passenger Car Bodies,,,,
GOGLC,,,,,,,
GOGLD,,,,,,,
GOOGL,Alphabet Inc.,NASDAQ,"Services-Computer Programming, Data Processing, Etc.",,,,
GPRK,Geopark Ltd.,NYSE,Crude Petroleum & Natural Gas,,,,
GRMN,Garmin Ltd.,NASDAQ,"Search, Detection, Navigation, Guidance, Aeronautical Sys",,,,
GS,"The Goldman Sachs Group, Inc",NYSE,"Security Brokers, Dealers & Flotation Companies",,,,
GSK,GSK Plc.,NYSE,Pharmaceutical Preparations,,,,
GT,Goodyear Tire & Rubber co./the,NASDAQ,Tires & Inner Tubes,,,,
HAL,Halliburton Co.,NYSE,"Oil & Gas Field Services, NEC",,,,
HAP3C,,,,,,,
HAP3D,,,,,,,
HAPV3,Hapvida Participacoes E Investimentos S.A.,B3,,,,,
HD,The Home Depot Inc.,NYSE,Retail-Lumber & Other Building Materials Dealers,,,,
HDB,Hdfc Bank Limited.,NYSE,"Commercial Banks, NEC",,,,
HHPD,,,,,,,
HIMS,"Hims & Hers Health, Inc.",NYSE,Services-Offices & Clinics of  Doctors of  Medicine,,,,
HL,Hecla Mining Co .,NYSE,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),,,,
HMC,Honda Motor Co. Ltd,NYSE,Motor Vehicles & Passenger Car Bodies,,,,
HMY,Harmony Gold Mining Company Ltd.,NYSE,Gold and Silver Ores,,,,
HOG,Harley-Davidson Inc.,NYSE,"Motorcycles, Bicycles & Parts",,,,
HON,Honeywell International Inc.,NYSE,Aircraft Engines & Engine Parts,,,,
HOOD,Robinhood Markets Inc,NASDAQ,"Security Brokers, Dealers & Flotation Companies",,,,
HPQ,Hp Inc,NYSE,Computer & office Equipment,,,,
HSBC,Hsbc Holdings Plc,NYSE,"Savings Institution, Federally Chartered",,,,
HSY,The Hershey Company,NYSE,Sugar & Confectionery Products,,,,
HUT,Hut 8 Mining Corp.,NASDAQ GS,Finance Services,,,,
HWM,Howmet Aerospace Inc.,NYSE,Rolling Drawing & Extruding of  Nonferrous Metals,,,,
IBB,iShares Nasdaq Biotechnology ETF,NASDAQ,,sectorial,,,
IBIT,ISHARES BITCOIN TRUST,NASDAQ,Commodity Contracts Brokers & Dealers,cripto,,,
IBM,International Business Machines,NYSE,Computer & office Equipment,,,,
IBN,Icici Bank Ltd.,NYSE,"Commercial Banks, NEC",,,,
ICLN,iShares Global Clean Energy ETF,NASDAQ GM,,sectorial,,,
IEMG,iShares Core MSCI Emerging Markets ETF,NYSE,,geografico,,,
IEUR,iShares Core MSCI Europe ETF,NYSE Arca,,geografico,,,
IFF,International Flavors & Fragrances Inc.,NYSE,Industrial Organic Chemicals,,,,
IJH,iShares CORE S&P MID-CAP ETF,NYSE Arca,,indice_amplio,,,
ILF,IShares Latin America 40 ETF,NYSE,,geografico,,,
INFY,Infosys Limited,NASDAQ,Services-Computer Programming Services,,,,
ING,Ing Groep Nv,NYSE,"Commercial Banks, NEC",,,,
INTC,Intel Corporation,NASDAQ,Semiconductors & Related Devices,,,,
IP,International Paper Co.,NYSE,Paper Mills,,,,
IREN,Iren Ltd,NASDAQ,Finance Services,,,,
ISRG,Intuitive Surgical inc,NASDAQ,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",,,,
ITA,iShares U.S. Aerospace & Defense,CBOE,,,,,
ITU3C,,,,,,,
ITUB,Itaú Unibanco Holding S.A.,NYSE,State Commercial Banks,,,,
ITUB3,Banco Itaú Unibanco S.A,B3,,,,,
IVE,iShares S&P 500 Value ETF,NYSE Arca,,factor,,,
IVV,IShares Core S&P 500 ETF,NYSE,,indice_amplio,,,
IVW,iShares S&P 500 Growth ETF,NYSE Arca,,factor,,,
IWDA,,,,,,,
IWM,ISHARES TRUST RUSSELL 2000,NYSE Arca,,indice_amplio,,,
JCI,Johnson Controls International,NYSE,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,,,,
JD,"Jd.Com, Inc.",NASDAQ,"Retail-Retail Stores, NEC",,,,
JMIA,Adr Jumia Technologies Ag,NYSE,Retail-Catalog & Mail-Order Houses,,,,
